Time (hours),Weight_PV,Batch
0,260.65777587890625,20221028_0906_BR-1210
0,265.706298828125,20221115_0832_BR-1210
0,271.4471435546875,20221117_0815_BR-1210
0,268.8822021484375,20230111_0653_BR-1210
0,264.968994140625,20230307_0737_BR-1210
0,264.0452575683594,20230504_0839_BR-1210
0,262.82305908203125,20230518_0856_BR-1210
0,261.0165,20230524_0902_BR-1210
0,257.50146484375,20230615_0848_BR-1210
0,272.4625549316406,20230824_0925_BR-1210
0,267.7754211425781,20231023_1358_BR-1210
0,244.9018097,20240111_0851_BR-1210
0,258.4288025,20240306_0847_BR-1210
0,256.9589538574219,20240502_0858_BR-1210
0,247.7677001953125,20240516_0838_BR-1210
0,247.85765075683594,GC_240625_BR1210
0,261.4694519042969,GP_240702_BR1210
0,256.5678405761719,GC_240730_BR1210
0,253.3411102294922,GP_241009_BR1210
0,246.68702697753906,GP_241022_BR1210
0.016666666546370834,260.7111511230469,20221028_0906_BR-1210
0.016666666546370834,265.564208984375,20221115_0832_BR-1210
0.016666666546370834,260.7846,20230524_0902_BR-1210
0.016666666546370834,270.021728515625,20230824_0925_BR-1210
0.016666666546370834,267.2391357421875,20231023_1358_BR-1210
0.016666666546370834,253.64468383789062,GP_241009_BR1210
0.016666666720993817,271.6874694824219,20221117_0815_BR-1210
0.016666666720993817,269.1694030761719,20230111_0653_BR-1210
0.016666666720993817,265.25543212890625,20230307_0737_BR-1210
0.016666666720993817,264.0556640625,20230504_0839_BR-1210
0.016666666720993817,263.5429382324219,20230518_0856_BR-1210
0.016666666720993817,256.7679138183594,20230615_0848_BR-1210
0.016666666720993817,246.5597382,20240111_0851_BR-1210
0.016666666720993817,256.5374756,20240306_0847_BR-1210
0.016666666720993817,256.80120849609375,20240502_0858_BR-1210
0.016666666720993817,246.3973388671875,20240516_0838_BR-1210
0.016666666720993817,247.93470764160156,GC_240625_BR1210
0.016666666720993817,261.24542236328125,GP_240702_BR1210
0.016666666720993817,256.7850341796875,GC_240730_BR1210
0.016666666720993817,245.94166564941406,GP_241022_BR1210
0.03333333326736465,260.8379211425781,20221028_0906_BR-1210
0.03333333326736465,265.457763671875,20221115_0832_BR-1210
0.03333333326736465,265.4307556152344,20230307_0737_BR-1210
0.03333333326736465,264.1116027832031,20230504_0839_BR-1210
0.03333333326736465,263.8266906738281,20230518_0856_BR-1210
0.03333333326736465,261.3125,20230524_0902_BR-1210
0.03333333326736465,253.26341247558594,20230615_0848_BR-1210
0.03333333326736465,269.0303955078125,20230824_0925_BR-1210
0.03333333326736465,266.6098327636719,20231023_1358_BR-1210
0.03333333326736465,256.5553894,20240306_0847_BR-1210
0.03333333326736465,256.974609375,20240502_0858_BR-1210
0.03333333326736465,246.35040283203125,20240516_0838_BR-1210
0.03333333326736465,261.3210754394531,GP_240702_BR1210
0.03333333326736465,256.4980773925781,GC_240730_BR1210
0.03333333326736465,253.42904663085938,GP_241009_BR1210
0.033333333441987634,271.45391845703125,20221117_0815_BR-1210
0.033333333441987634,268.64697265625,20230111_0653_BR-1210
0.033333333441987634,244.1575623,20240111_0851_BR-1210
0.033333333441987634,247.83535766601562,GC_240625_BR1210
0.033333333441987634,245.8508758544922,GP_241022_BR1210
0.04999999998835847,260.5184631347656,20221028_0906_BR-1210
0.04999999998835847,264.8351135253906,20221115_0832_BR-1210
0.04999999998835847,271.75506591796875,20221117_0815_BR-1210
0.04999999998835847,268.7207336425781,20230111_0653_BR-1210
0.04999999998835847,265.0826721191406,20230307_0737_BR-1210
0.04999999998835847,264.1763916015625,20230504_0839_BR-1210
0.04999999998835847,264.35736083984375,20230518_0856_BR-1210
0.04999999998835847,260.9537,20230524_0902_BR-1210
0.04999999998835847,253.7684326171875,20230615_0848_BR-1210
0.04999999998835847,269.6414489746094,20230824_0925_BR-1210
0.04999999998835847,266.5640563964844,20231023_1358_BR-1210
0.04999999998835847,256.5733337,20240306_0847_BR-1210
0.04999999998835847,257.099365234375,20240502_0858_BR-1210
0.04999999998835847,246.37496948242188,20240516_0838_BR-1210
0.04999999998835847,247.7360076904297,GC_240625_BR1210
0.04999999998835847,261.4772644042969,GP_240702_BR1210
0.04999999998835847,255.96658325195312,GC_240730_BR1210
0.04999999998835847,253.5818634033203,GP_241009_BR1210
0.04999999998835847,245.89663696289062,GP_241022_BR1210
0.05000000016298145,244.1733551,20240111_0851_BR-1210
0.0666666665347293,260.7013854980469,20221028_0906_BR-1210
0.0666666665347293,264.998291015625,20221115_0832_BR-1210
0.0666666665347293,266.5182800292969,20231023_1358_BR-1210
0.06666666670935228,271.6551818847656,20221117_0815_BR-1210
0.06666666670935228,268.69140625,20230111_0653_BR-1210
0.06666666670935228,265.2140808105469,20230307_0737_BR-1210
0.06666666670935228,264.0626220703125,20230504_0839_BR-1210
0.06666666670935228,264.7467041015625,20230518_0856_BR-1210
0.06666666670935228,260.6661,20230524_0902_BR-1210
0.06666666670935228,254.1437530517578,20230615_0848_BR-1210
0.06666666670935228,269.84912109375,20230824_0925_BR-1210
0.06666666670935228,244.1891479,20240111_0851_BR-1210
0.06666666670935228,256.5912476,20240306_0847_BR-1210
0.06666666670935228,256.9621887207031,20240502_0858_BR-1210
0.06666666670935228,246.39952087402344,20240516_0838_BR-1210
0.06666666670935228,247.74859619140625,GC_240625_BR1210
0.06666666670935228,261.467529296875,GP_240702_BR1210
0.06666666670935228,256.0080261230469,GC_240730_BR1210
0.06666666670935228,253.35565185546875,GP_241009_BR1210
0.06666666670935228,245.94241333007812,GP_241022_BR1210
0.08333333325572312,260.5435485839844,20221028_0906_BR-1210
0.08333333325572312,265.0294189453125,20221115_0832_BR-1210
0.08333333325572312,264.2416076660156,20230504_0839_BR-1210
0.08333333325572312,265.26568603515625,20230518_0856_BR-1210
0.08333333325572312,260.7596,20230524_0902_BR-1210
0.08333333325572312,254.95849609375,20230615_0848_BR-1210
0.08333333325572312,269.4356384277344,20230824_0925_BR-1210
0.08333333325572312,266.4695739746094,20231023_1358_BR-1210
0.08333333325572312,256.6091614,20240306_0847_BR-1210
0.08333333325572312,256.8294982910156,20240502_0858_BR-1210
0.08333333325572312,246.42408752441406,20240516_0838_BR-1210
0.08333333325572312,256.04949951171875,GC_240730_BR1210
0.08333333325572312,253.3642578125,GP_241009_BR1210
0.0833333334303461,271.6297302246094,20221117_0815_BR-1210
0.0833333334303461,268.8522033691406,20230111_0653_BR-1210
0.0833333334303461,265.15997314453125,20230307_0737_BR-1210
0.0833333334303461,244.2049408,20240111_0851_BR-1210
0.0833333334303461,247.8197784423828,GC_240625_BR1210
0.0833333334303461,261.45782470703125,GP_240702_BR1210
0.0833333334303461,245.98818969726562,GP_241022_BR1210
0.09999999997671694,260.7386779785156,20221028_0906_BR-1210
0.09999999997671694,265.1963806152344,20221115_0832_BR-1210
0.09999999997671694,271.38287353515625,20221117_0815_BR-1210
0.09999999997671694,265.3278503417969,20230307_0737_BR-1210
0.09999999997671694,264.13201904296875,20230504_0839_BR-1210
0.09999999997671694,265.8689270019531,20230518_0856_BR-1210
0.09999999997671694,260.8875,20230524_0902_BR-1210
0.09999999997671694,255.3536376953125,20230615_0848_BR-1210
0.09999999997671694,269.288330078125,20230824_0925_BR-1210
0.09999999997671694,266.4158020019531,20231023_1358_BR-1210
0.09999999997671694,256.6271057,20240306_0847_BR-1210
0.09999999997671694,256.8744812011719,20240502_0858_BR-1210
0.09999999997671694,246.3874969482422,20240516_0838_BR-1210
0.09999999997671694,249.0126190185547,GC_240625_BR1210
0.09999999997671694,261.4480895996094,GP_240702_BR1210
0.09999999997671694,256.0909423828125,GC_240730_BR1210
0.09999999997671694,253.33847045898438,GP_241009_BR1210
0.09999999997671694,245.71051025390625,GP_241022_BR1210
0.10000000015133992,269.02862548828125,20230111_0653_BR-1210
0.10000000015133992,244.2207336,20240111_0851_BR-1210
0.11666666652308777,266.3620300292969,20231023_1358_BR-1210
0.11666666669771075,261.0356140136719,20221028_0906_BR-1210
0.11666666669771075,265.6381530761719,20221115_0832_BR-1210
0.11666666669771075,271.19976806640625,20221117_0815_BR-1210
0.11666666669771075,269.15106201171875,20230111_0653_BR-1210
0.11666666669771075,265.0844421386719,20230307_0737_BR-1210
0.11666666669771075,264.0041809082031,20230504_0839_BR-1210
0.11666666669771075,265.7441711425781,20230518_0856_BR-1210
0.11666666669771075,260.8327,20230524_0902_BR-1210
0.11666666669771075,255.64744567871094,20230615_0848_BR-1210
0.11666666669771075,269.52874755859375,20230824_0925_BR-1210
0.11666666669771075,244.2365265,20240111_0851_BR-1210
0.11666666669771075,256.6450195,20240306_0847_BR-1210
0.11666666669771075,256.9194641113281,20240502_0858_BR-1210
0.11666666669771075,246.31483459472656,20240516_0838_BR-1210
0.11666666669771075,248.5732421875,GC_240625_BR1210
0.11666666669771075,261.4383850097656,GP_240702_BR1210
0.11666666669771075,256.13238525390625,GC_240730_BR1210
0.11666666669771075,253.31268310546875,GP_241009_BR1210
0.11666666669771075,245.71910095214844,GP_241022_BR1210
0.1333333332440816,260.5899658203125,20221028_0906_BR-1210
0.1333333332440816,265.1587219238281,20221115_0832_BR-1210
0.1333333332440816,260.8779,20230524_0902_BR-1210
0.1333333332440816,269.54254150390625,20230824_0925_BR-1210
0.1333333332440816,266.3082275390625,20231023_1358_BR-1210
0.1333333332440816,256.6629333,20240306_0847_BR-1210
0.1333333332440816,256.96441650390625,20240502_0858_BR-1210
0.1333333332440816,246.34739685058594,20240516_0838_BR-1210
0.1333333332440816,253.2869110107422,GP_241009_BR1210
0.13333333341870457,271.457763671875,20221117_0815_BR-1210
