Time (hours),Batch,Temperature_PV
0,20221028_0906_BR-1210,30.0982723236084
0,20221115_0832_BR-1210,30.154603958129883
0,20221117_0815_BR-1210,29.99233055114746
0,20230111_0653_BR-1210,30.05036163330078
0,20230307_0737_BR-1210,30.020912170410156
0,20230504_0839_BR-1210,30.22022819519043
0,20230518_0856_BR-1210,29.68689727783203
0,20230524_0902_BR-1210,30.23223877
0,20230615_0848_BR-1210,30.225082397460938
0,20230824_0925_BR-1210,29.906227111816406
0,20231023_1358_BR-1210,29.91816520690918
0,20240111_0851_BR-1210,29.9830265
0,20240306_0847_BR-1210,29.93498993
0,20240502_0858_BR-1210,30.089345932006836
0,20240516_0838_BR-1210,30.130170822143555
0,GC_240625_BR1210,30.46017837524414
0,GP_240702_BR1210,30.102951049804688
0,GC_240730_BR1210,29.997283935546875
0,GP_241009_BR1210,30.063220977783203
0,GP_241022_BR1210,30.02336883544922
0.016666666546370834,20221028_0906_BR-1210,30.098161697387695
0.016666666546370834,20221115_0832_BR-1210,30.151857376098633
0.016666666546370834,20230524_0902_BR-1210,30.22571182
0.016666666546370834,20230824_0925_BR-1210,29.90597915649414
0.016666666546370834,20231023_1358_BR-1210,29.918193817138672
0.016666666546370834,GP_241009_BR1210,30.063190460205078
0.016666666720993817,20221117_0815_BR-1210,29.992881774902344
0.016666666720993817,20230111_0653_BR-1210,30.048582077026367
0.016666666720993817,20230307_0737_BR-1210,30.020612716674805
0.016666666720993817,20230504_0839_BR-1210,30.217056274414062
0.016666666720993817,20230518_0856_BR-1210,29.894973754882812
0.016666666720993817,20230615_0848_BR-1210,30.222217559814453
0.016666666720993817,20240111_0851_BR-1210,29.98282433
0.016666666720993817,20240306_0847_BR-1210,29.93570709
0.016666666720993817,20240502_0858_BR-1210,30.089279174804688
0.016666666720993817,20240516_0838_BR-1210,30.1299991607666
0.016666666720993817,GC_240625_BR1210,30.3349666595459
0.016666666720993817,GP_240702_BR1210,30.102928161621094
0.016666666720993817,GC_240730_BR1210,29.997350692749023
0.016666666720993817,GP_241022_BR1210,30.0230712890625
0.03333333326736465,20221028_0906_BR-1210,30.098051071166992
0.03333333326736465,20221115_0832_BR-1210,30.149110794067383
0.03333333326736465,20230307_0737_BR-1210,30.020313262939453
0.03333333326736465,20230504_0839_BR-1210,30.213884353637695
0.03333333326736465,20230518_0856_BR-1210,30.103050231933594
0.03333333326736465,20230524_0902_BR-1210,30.21918297
0.03333333326736465,20230615_0848_BR-1210,30.219350814819336
0.03333333326736465,20230824_0925_BR-1210,29.905731201171875
