Batch id , Biomass/Substrate(g/g),Product/Substrate (g/g)
20221028_0906_BR-1210,0.718,0
20221115_0832_BR-1210,0.685,0.038
20221117_0815_BR-1210,0.717,0
20230111_0653_BR-1210,0.8156938967190217,0.090256591796875
20230307_0737_BR-1210,0.6036653823852539,0.08812126846313477
20230504_0839_BR-1210,0.7433666802827588,0.11043516845703126
20230518_0856_BR-1210,0.6245410245895385,0.06297892684936524
20230524_0902_BR-1210,0.5744433824999999,0.04974420750000001
20230615_0848_BR-1210,0.599,0
20230824_0925_BR-1210,0.6447010940551757,0.08027683044433594
20231023_1358_BR-1210,0.5888999881145573,0.1200845066833496
20240111_0851_BR-1210,0.622670664375,0.059210027000000005
20240306_0847_BR-1210,0.6427481985000001,0.07467501250000001
20240502_0858_BR-1210,0.6628653855867159,0.10459818992614747
20240516_0838_BR-1210,0.72301206277741,0.10783468765258789
GC_240625_BR1210,0.6743242630004883,0.10643745719909668
GP_240702_BR1210,0.6730242723923991,0.10597724212646484
GC_240730_BR1210,0.7748328460693359,0.07562638671875001
GP_241009_BR1210,0.6413759863573214,0.12940919845581056
GP_241022_BR1210,0.7238747288470709,0.13120027297973633
