Time (hours), Agitation_PV,Batch
0,101.25064849853516,20221028_0906_BR-1210
0,101.2685546875,20221115_0832_BR-1210
0,101.47950744628906,20221117_0815_BR-1210
0,101.28086853027344,20230111_0653_BR-1210
0,101.27618408203125,20230307_0737_BR-1210
0,101.25957489013672,20230504_0839_BR-1210
0,101.42835235595703,20230518_0856_BR-1210
0,101.2753983,20230524_0902_BR-1210
0,101.26874542236328,20230615_0848_BR-1210
0,101.23949432373047,20230824_0925_BR-1210
0,101.38045501708984,20231023_1358_BR-1210
0,101.2642975,20240111_0851_BR-1210
0,101.2855759,20240306_0847_BR-1210
0,101.27,20240502_0858_BR-1210
0,101.26920318603516,20240516_0838_BR-1210
0,101.26156616210938,GC_240625_BR1210
0,101.27603912353516,GP_240702_BR1210
0,101.26122283935547,GC_240730_BR1210
0,101.3488998413086,GP_241009_BR1210
0,101.2665023803711,GP_241022_BR1210
0.016666666546370834,101.25062561035156,20221028_0906_BR-1210
0.016666666546370834,101.26850891113281,20221115_0832_BR-1210
0.016666666546370834,101.2754211,20230524_0902_BR-1210
0.016666666546370834,101.2394790649414,20230824_0925_BR-1210
0.016666666546370834,101.38258361816406,20231023_1358_BR-1210
0.016666666546370834,101.35100555419922,GP_241009_BR1210
0.016666666720993817,101.4809341430664,20221117_0815_BR-1210
0.016666666720993817,101.28083038330078,20230111_0653_BR-1210
0.016666666720993817,101.276123046875,20230307_0737_BR-1210
0.016666666720993817,101.25955200195312,20230504_0839_BR-1210
0.016666666720993817,101.42937469482422,20230518_0856_BR-1210
0.016666666720993817,101.26872253417969,20230615_0848_BR-1210
0.016666666720993817,101.2643204,20240111_0851_BR-1210
0.016666666720993817,101.2855759,20240306_0847_BR-1210
0.016666666720993817,101.266670227051,20240502_0858_BR-1210
0.016666666720993817,101.26915740966797,20240516_0838_BR-1210
0.016666666720993817,101.26152801513672,GC_240625_BR1210
0.016666666720993817,101.27603912353516,GP_240702_BR1210
0.016666666720993817,101.26117706298828,GC_240730_BR1210
0.016666666720993817,101.2665023803711,GP_241022_BR1210
0.03333333326736465,101.2506103515625,20221028_0906_BR-1210
0.03333333326736465,101.26847076416016,20221115_0832_BR-1210
0.03333333326736465,101.27606201171875,20230307_0737_BR-1210
0.03333333326736465,101.25952911376953,20230504_0839_BR-1210
0.03333333326736465,101.4303970336914,20230518_0856_BR-1210
0.03333333326736465,101.275444,20230524_0902_BR-1210
0.03333333326736465,101.26870727539062,20230615_0848_BR-1210
0.03333333326736465,101.23945617675781,20230824_0925_BR-1210
0.03333333326736465,101.38470458984375,20231023_1358_BR-1210
0.03333333326736465,101.2855759,20240306_0847_BR-1210
0.03333333326736465,101.26663208007812,20240502_0858_BR-1210
0.03333333326736465,101.26911926269531,20240516_0838_BR-1210
0.03333333326736465,101.27603912353516,GP_240702_BR1210
0.03333333326736465,101.26113891601562,GC_240730_BR1210
0.03333333326736465,101.35311126708984,GP_241009_BR1210
0.033333333441987634,101.48236846923828,20221117_0815_BR-1210
0.033333333441987634,101.28079223632812,20230111_0653_BR-1210
0.033333333441987634,101.2643433,20240111_0851_BR-1210
0.033333333441987634,101.26148223876953,GC_240625_BR1210
0.033333333441987634,101.2665023803711,GP_241022_BR1210
0.04999999998835847,101.2505874633789,20221028_0906_BR-1210
0.04999999998835847,101.2684326171875,20221115_0832_BR-1210
0.04999999998835847,101.48380279541016,20221117_0815_BR-1210
0.04999999998835847,101.28075408935547,20230111_0653_BR-1210
0.04999999998835847,101.2760009765625,20230307_0737_BR-1210
0.04999999998835847,101.25951385498047,20230504_0839_BR-1210
0.04999999998835847,101.4314193725586,20230518_0856_BR-1210
0.04999999998835847,101.2754593,20230524_0902_BR-1210
0.04999999998835847,101.26868438720703,20230615_0848_BR-1210
0.04999999998835847,101.23943328857422,20230824_0925_BR-1210
0.04999999998835847,101.38683319091797,20231023_1358_BR-1210
0.04999999998835847,101.2855759,20240306_0847_BR-1210
0.04999999998835847,101.26659393310547,20240502_0858_BR-1210
0.04999999998835847,101.26908111572266,20240516_0838_BR-1210
0.04999999998835847,101.26144409179688,GC_240625_BR1210
0.04999999998835847,101.27603912353516,GP_240702_BR1210
0.04999999998835847,101.26110076904297,GC_240730_BR1210
0.04999999998835847,101.35520935058594,GP_241009_BR1210
0.04999999998835847,101.2665023803711,GP_241022_BR1210
0.05000000016298145,101.2643585,20240111_0851_BR-1210
0.0666666665347293,101.25057220458984,20221028_0906_BR-1210
0.0666666665347293,101.26839447021484,20221115_0832_BR-1210
0.0666666665347293,101.38896179199219,20231023_1358_BR-1210
0.06666666670935228,101.48523712158203,20221117_0815_BR-1210
0.06666666670935228,101.28070831298828,20230111_0653_BR-1210
0.06666666670935228,101.27593994140625,20230307_0737_BR-1210
0.06666666670935228,101.25949096679688,20230504_0839_BR-1210
0.06666666670935228,101.43244171142578,20230518_0856_BR-1210
0.06666666670935228,101.2754822,20230524_0902_BR-1210
0.06666666670935228,101.26866912841797,20230615_0848_BR-1210
0.06666666670935228,101.23941802978516,20230824_0925_BR-1210
0.06666666670935228,101.2643814,20240111_0851_BR-1210
0.06666666670935228,101.2855759,20240306_0847_BR-1210
0.06666666670935228,101.26654815673828,20240502_0858_BR-1210
0.06666666670935228,101.26904296875,20240516_0838_BR-1210
0.06666666670935228,101.26140594482422,GC_240625_BR1210
0.06666666670935228,101.27603912353516,GP_240702_BR1210
0.06666666670935228,101.26105499267578,GC_240730_BR1210
0.06666666670935228,101.35731506347656,GP_241009_BR1210
0.06666666670935228,101.2665023803711,GP_241022_BR1210
0.08333333325572312,101.25054931640625,20221028_0906_BR-1210
0.08333333325572312,101.26834869384766,20221115_0832_BR-1210
0.08333333325572312,101.25946807861328,20230504_0839_BR-1210
0.08333333325572312,101.43346405029297,20230518_0856_BR-1210
0.08333333325572312,101.2754974,20230524_0902_BR-1210
0.08333333325572312,101.26864624023438,20230615_0848_BR-1210
0.08333333325572312,101.23939514160156,20230824_0925_BR-1210
0.08333333325572312,101.39108276367188,20231023_1358_BR-1210
0.08333333325572312,101.2855759,20240306_0847_BR-1210
0.08333333325572312,101.26651000976562,20240502_0858_BR-1210
0.08333333325572312,101.26899719238281,20240516_0838_BR-1210
0.08333333325572312,101.26101684570312,GC_240730_BR1210
0.08333333325572312,101.35942077636719,GP_241009_BR1210
0.0833333334303461,101.4866714477539,20221117_0815_BR-1210
0.0833333334303461,101.28067016601562,20230111_0653_BR-1210
0.0833333334303461,101.27588653564453,20230307_0737_BR-1210
0.0833333334303461,101.2643967,20240111_0851_BR-1210
0.0833333334303461,101.26136779785156,GC_240625_BR1210
0.0833333334303461,101.27603912353516,GP_240702_BR1210
0.0833333334303461,101.2665023803711,GP_241022_BR1210
0.09999999997671694,101.25052642822266,20221028_0906_BR-1210
0.09999999997671694,101.268310546875,20221115_0832_BR-1210
0.09999999997671694,101.48810577392578,20221117_0815_BR-1210
0.09999999997671694,101.27582550048828,20230307_0737_BR-1210
0.09999999997671694,101.25945281982422,20230504_0839_BR-1210
0.09999999997671694,101.43447875976562,20230518_0856_BR-1210
0.09999999997671694,101.2755203,20230524_0902_BR-1210
0.09999999997671694,101.26862335205078,20230615_0848_BR-1210
0.09999999997671694,101.2393798828125,20230824_0925_BR-1210
0.09999999997671694,101.3932113647461,20231023_1358_BR-1210
0.09999999997671694,101.2855759,20240306_0847_BR-1210
0.09999999997671694,101.26844787597656,20240502_0858_BR-1210
0.09999999997671694,101.26895904541016,20240516_0838_BR-1210
0.09999999997671694,101.26132202148438,GC_240625_BR1210
0.09999999997671694,101.27603912353516,GP_240702_BR1210
0.09999999997671694,101.26097869873047,GC_240730_BR1210
0.09999999997671694,101.36152648925781,GP_241009_BR1210
0.09999999997671694,101.2665023803711,GP_241022_BR1210
0.10000000015133992,101.28063201904297,20230111_0653_BR-1210
0.10000000015133992,101.2644196,20240111_0851_BR-1210
0.11666666652308777,101.39533233642578,20231023_1358_BR-1210
0.11666666669771075,101.2505111694336,20221028_0906_BR-1210
0.11666666669771075,101.26827239990234,20221115_0832_BR-1210
0.11666666669771075,101.48954010009766,20221117_0815_BR-1210
0.11666666669771075,101.28059387207031,20230111_0653_BR-1210
