Time (hours), Air_Sparge_PV,Batch
0,199.05087280273438,20221028_0906_BR-1210
0,198.65914916992188,20221115_0832_BR-1210
0,199.31578063964844,20221117_0815_BR-1210
0,198.85105895996094,20230111_0653_BR-1210
0,198.94070434570312,20230307_0737_BR-1210
0,198.27597045898438,20230504_0839_BR-1210
0,198.77308654785156,20230518_0856_BR-1210
0,255.7033997,20230524_0902_BR-1210
0,199.1905059814453,20230615_0848_BR-1210
0,198.9700927734375,20230824_0925_BR-1210
0,198.80235290527344,20231023_1358_BR-1210
0,198.801651,20240111_0851_BR-1210
0,199.1714783,20240306_0847_BR-1210
0,198.83119201660156,20240502_0858_BR-1210
0,198.7159881591797,20240516_0838_BR-1210
0,198.9495849609375,GC_240625_BR1210
0,198.55422973632812,GP_240702_BR1210
0,198.8717803955078,GC_240730_BR1210
0,198.8447723388672,GP_241009_BR1210
0,8.972663879394531,GP_241022_BR1210
0.016666666546370834,199.01100158691406,20221028_0906_BR-1210
0.016666666546370834,198.86180114746094,20221115_0832_BR-1210
0.016666666546370834,198.6129456,20230524_0902_BR-1210
0.016666666546370834,198.9756317138672,20230824_0925_BR-1210
0.016666666546370834,198.8025665283203,20231023_1358_BR-1210
0.016666666546370834,198.84475708007812,GP_241009_BR1210
0.016666666720993817,198.85733032226562,20221117_0815_BR-1210
0.016666666720993817,199.07305908203125,20230111_0653_BR-1210
0.016666666720993817,198.94056701660156,20230307_0737_BR-1210
0.016666666720993817,199.0155487060547,20230504_0839_BR-1210
0.016666666720993817,198.7753143310547,20230518_0856_BR-1210
0.016666666720993817,199.189697265625,20230615_0848_BR-1210
0.016666666720993817,198.7985992,20240111_0851_BR-1210
0.016666666720993817,198.9581757,20240306_0847_BR-1210
0.016666666720993817,198.7998046875,20240502_0858_BR-1210
0.016666666720993817,198.71595764160156,20240516_0838_BR-1210
0.016666666720993817,198.94085693359375,GC_240625_BR1210
0.016666666720993817,198.55661010742188,GP_240702_BR1210
0.016666666720993817,198.8841552734375,GC_240730_BR1210
0.016666666720993817,8.972504615783691,GP_241022_BR1210
0.03333333326736465,199.2687225341797,20221028_0906_BR-1210
0.03333333326736465,199.52903747558594,20221115_0832_BR-1210
0.03333333326736465,198.9404296875,20230307_0737_BR-1210
0.03333333326736465,199.37887573242188,20230504_0839_BR-1210
0.03333333326736465,198.7775421142578,20230518_0856_BR-1210
0.03333333326736465,198.6414337,20230524_0902_BR-1210
0.03333333326736465,199.1888885498047,20230615_0848_BR-1210
0.03333333326736465,198.98118591308594,20230824_0925_BR-1210
0.03333333326736465,198.80276489257812,20231023_1358_BR-1210
0.03333333326736465,198.3412018,20240306_0847_BR-1210
0.03333333326736465,198.76841735839844,20240502_0858_BR-1210
0.03333333326736465,198.7159423828125,20240516_0838_BR-1210
0.03333333326736465,198.5590057373047,GP_240702_BR1210
0.03333333326736465,198.89651489257812,GC_240730_BR1210
0.03333333326736465,198.8447265625,GP_241009_BR1210
0.033333333441987634,198.9024658203125,20221117_0815_BR-1210
0.033333333441987634,199.6848907470703,20230111_0653_BR-1210
0.033333333441987634,198.7955475,20240111_0851_BR-1210
0.033333333441987634,198.93211364746094,GC_240625_BR1210
0.033333333441987634,8.972345352172852,GP_241022_BR1210
0.04999999998835847,198.45797729492188,20221028_0906_BR-1210
0.04999999998835847,199.13453674316406,20221115_0832_BR-1210
0.04999999998835847,198.8134307861328,20221117_0815_BR-1210
0.04999999998835847,198.851806640625,20230111_0653_BR-1210
0.04999999998835847,198.94029235839844,20230307_0737_BR-1210
0.04999999998835847,198.66680908203125,20230504_0839_BR-1210
0.04999999998835847,198.77976989746094,20230518_0856_BR-1210
0.04999999998835847,198.6699219,20230524_0902_BR-1210
0.04999999998835847,199.1880645751953,20230615_0848_BR-1210
0.04999999998835847,198.9867401123047,20230824_0925_BR-1210
0.04999999998835847,198.802978515625,20231023_1358_BR-1210
0.04999999998835847,198.5816803,20240306_0847_BR-1210
0.04999999998835847,198.73704528808594,20240502_0858_BR-1210
0.04999999998835847,198.71592712402344,20240516_0838_BR-1210
0.04999999998835847,198.9233856201172,GC_240625_BR1210
0.04999999998835847,198.5614013671875,GP_240702_BR1210
0.04999999998835847,198.90887451171875,GC_240730_BR1210
0.04999999998835847,198.84469604492188,GP_241009_BR1210
0.04999999998835847,8.972186088562012,GP_241022_BR1210
0.05000000016298145,198.7924957,20240111_0851_BR-1210
0.0666666665347293,198.99465942382812,20221028_0906_BR-1210
0.0666666665347293,199.12692260742188,20221115_0832_BR-1210
0.0666666665347293,198.8031768798828,20231023_1358_BR-1210
0.06666666670935228,198.77273559570312,20221117_0815_BR-1210
0.06666666670935228,198.49891662597656,20230111_0653_BR-1210
0.06666666670935228,198.94015502929688,20230307_0737_BR-1210
0.06666666670935228,198.98452758789062,20230504_0839_BR-1210
0.06666666670935228,198.78199768066406,20230518_0856_BR-1210
0.06666666670935228,198.6984253,20230524_0902_BR-1210
0.06666666670935228,199.187255859375,20230615_0848_BR-1210
0.06666666670935228,198.99227905273438,20230824_0925_BR-1210
0.06666666670935228,198.7894287,20240111_0851_BR-1210
0.06666666670935228,198.3145905,20240306_0847_BR-1210
0.06666666670935228,198.7671661376953,20240502_0858_BR-1210
0.06666666670935228,198.7158966064453,20240516_0838_BR-1210
0.06666666670935228,198.91465759277344,GC_240625_BR1210
0.06666666670935228,198.56378173828125,GP_240702_BR1210
0.06666666670935228,198.92124938964844,GC_240730_BR1210
0.06666666670935228,198.84466552734375,GP_241009_BR1210
0.06666666670935228,8.972026824951172,GP_241022_BR1210
0.08333333325572312,199.1219024658203,20221028_0906_BR-1210
0.08333333325572312,198.93923950195312,20221115_0832_BR-1210
0.08333333325572312,199.09974670410156,20230504_0839_BR-1210
0.08333333325572312,198.78424072265625,20230518_0856_BR-1210
0.08333333325572312,198.7269135,20230524_0902_BR-1210
0.08333333325572312,199.1864471435547,20230615_0848_BR-1210
0.08333333325572312,198.99783325195312,20230824_0925_BR-1210
0.08333333325572312,198.8033905029297,20231023_1358_BR-1210
0.08333333325572312,198.2120361,20240306_0847_BR-1210
0.08333333325572312,198.8269500732422,20240502_0858_BR-1210
