Time (hours),Batch, pH_PV
0,20221028_0906_BR-1210,6.856077671051025
0,20221115_0832_BR-1210,6.8168182373046875
0,20221117_0815_BR-1210,6.587446689605713
0,20230111_0653_BR-1210,6.915809154510498
0,20230307_0737_BR-1210,6.741860389709473
0,20230504_0839_BR-1210,6.835388660430908
0,20230518_0856_BR-1210,6.867018699645996
0,20230524_0902_BR-1210,6.813721
0,20230615_0848_BR-1210,6.831484317779541
0,20230824_0925_BR-1210,6.862882137298584
0,20231023_1358_BR-1210,6.557177543640137
0,20240111_0851_BR-1210,6.596114159
0,20240306_0847_BR-1210,6.778538704
0,20240502_0858_BR-1210,6.71386194229126
0,20240516_0838_BR-1210,6.813436031341553
0,GC_240625_BR1210,6.765005588531494
0,GP_240702_BR1210,6.5915727615356445
0,GC_240730_BR1210,6.5415873527526855
0,GP_241009_BR1210,6.748342990875244
0,GP_241022_BR1210,6.472259998321533
0.016666666546370834,20221028_0906_BR-1210,6.855746746063232
0.016666666546370834,20221115_0832_BR-1210,6.816181182861328
0.016666666546370834,20230524_0902_BR-1210,6.81292
0.016666666546370834,20230824_0925_BR-1210,6.862200736999512
0.016666666546370834,20231023_1358_BR-1210,6.556480407714844
0.016666666546370834,GP_241009_BR1210,6.7477827072143555
0.016666666720993817,20221117_0815_BR-1210,6.587013244628906
0.016666666720993817,20230111_0653_BR-1210,6.915403842926025
0.016666666720993817,20230307_0737_BR-1210,6.741290092468262
0.016666666720993817,20230504_0839_BR-1210,6.8343825340271
0.016666666720993817,20230518_0856_BR-1210,6.866349697113037
0.016666666720993817,20230615_0848_BR-1210,6.830765247344971
0.016666666720993817,20240111_0851_BR-1210,6.595458984
0.016666666720993817,20240306_0847_BR-1210,6.777798176
0.016666666720993817,20240502_0858_BR-1210,6.713397979736328
0.016666666720993817,20240516_0838_BR-1210,6.81286096572876
0.016666666720993817,GC_240625_BR1210,6.764420509338379
0.016666666720993817,GP_240702_BR1210,6.590987682342529
0.016666666720993817,GC_240730_BR1210,6.5399370193481445
0.016666666720993817,GP_241022_BR1210,6.4718804359436035
0.03333333326736465,20221028_0906_BR-1210,6.8554158210754395
0.03333333326736465,20221115_0832_BR-1210,6.815544128417969
0.03333333326736465,20230307_0737_BR-1210,6.740719795227051
0.03333333326736465,20230504_0839_BR-1210,6.833375930786133
0.03333333326736465,20230518_0856_BR-1210,6.86568021774292
0.03333333326736465,20230524_0902_BR-1210,6.812118
0.03333333326736465,20230615_0848_BR-1210,6.8300461769104
0.03333333326736465,20230824_0925_BR-1210,6.8615193367004395
0.03333333326736465,20231023_1358_BR-1210,6.555782794952393
