Time (hours),Batch,Pressure_PV
0,20221028_0906_BR-1210,4.989099025726318
0,20221115_0832_BR-1210,4.965219974517822
0,20221117_0815_BR-1210,5.022127628326416
0,20230111_0653_BR-1210,4.99074649810791
0,20230307_0737_BR-1210,5.00005578994751
0,20230504_0839_BR-1210,5.019418716430664
0,20230518_0856_BR-1210,4.986937522888184
0,20230524_0902_BR-1210,8.230648
0,20230615_0848_BR-1210,4.960036277770996
0,20230824_0925_BR-1210,4.996446132659912
0,20231023_1358_BR-1210,5.048591613769531
0,20240111_0851_BR-1210,4.947884083
0,20240306_0847_BR-1210,4.9976511
0,20240502_0858_BR-1210,4.968196868896484
0,20240516_0838_BR-1210,5.046236991882324
0,GC_240625_BR1210,4.971020221710205
0,GP_240702_BR1210,4.974301338195801
0,GC_240730_BR1210,5.017577648162842
0,GP_241009_BR1210,4.962557315826416
0,GP_241022_BR1210,4.9478254318237305
0.016666666546370834,20221028_0906_BR-1210,4.988893032073975
0.016666666546370834,20221115_0832_BR-1210,4.9723968505859375
0.016666666546370834,20230524_0902_BR-1210,5.000449
0.016666666546370834,20230824_0925_BR-1210,4.9870686531066895
0.016666666546370834,20231023_1358_BR-1210,5.051239490509033
0.016666666546370834,GP_241009_BR1210,4.9579758644104
0.016666666720993817,20221117_0815_BR-1210,5.036690711975098
0.016666666720993817,20230111_0653_BR-1210,4.9906792640686035
0.016666666720993817,20230307_0737_BR-1210,5.000051021575928
0.016666666720993817,20230504_0839_BR-1210,5.018738746643066
0.016666666720993817,20230518_0856_BR-1210,5.000152111053467
0.016666666720993817,20230615_0848_BR-1210,4.9601311683654785
0.016666666720993817,20240111_0851_BR-1210,4.947649956
0.016666666720993817,20240306_0847_BR-1210,4.997619629
0.016666666720993817,20240502_0858_BR-1210,4.968301773071289
0.016666666720993817,20240516_0838_BR-1210,5.015406131744385
0.016666666720993817,GC_240625_BR1210,4.968460559844971
0.016666666720993817,GP_240702_BR1210,4.974344253540039
0.016666666720993817,GC_240730_BR1210,5.023903846740723
0.016666666720993817,GP_241022_BR1210,4.988875865936279
0.03333333326736465,20221028_0906_BR-1210,4.988687515258789
0.03333333326736465,20221115_0832_BR-1210,4.9795732498168945
0.03333333326736465,20230307_0737_BR-1210,5.000046730041504
0.03333333326736465,20230504_0839_BR-1210,5.018058776855469
0.03333333326736465,20230518_0856_BR-1210,5.0001654624938965
0.03333333326736465,20230524_0902_BR-1210,4.98016
0.03333333326736465,20230615_0848_BR-1210,4.960226058959961
0.03333333326736465,20230824_0925_BR-1210,4.977691173553467
0.03333333326736465,20231023_1358_BR-1210,5.053887367248535
0.03333333326736465,20240306_0847_BR-1210,4.997588158
0.03333333326736465,20240502_0858_BR-1210,4.968406677246094
0.03333333326736465,20240516_0838_BR-1210,5.0343732833862305
0.03333333326736465,GP_240702_BR1210,4.974386692047119
0.03333333326736465,GC_240730_BR1210,5.033723831176758
0.03333333326736465,GP_241009_BR1210,4.953393936157227
0.033333333441987634,20221117_0815_BR-1210,5.037125587463379
0.033333333441987634,20230111_0653_BR-1210,4.990612030029297
0.033333333441987634,20240111_0851_BR-1210,4.947416306
